frame_id,steering_angle
1477439511811721729,-0.002143584191799164
1477439597173798880,-0.0024572357069700956
1477439614826225472,-0.0017568590119481087
1477439727642341252,-0.002526352647691965
1477439612825925725,-0.0013367016799747944
1477439612075968188,-0.0017238210421055555
1477439696087636757,-0.0032481644302606583
1477439405597034680,-0.0025857340078800917
1477439409697358560,-0.003142462344840169
1477439619426898152,-0.001845762599259615
1477439604124962834,-0.0018775383941829205
1477439546216682233,-0.0017897707875818014
1477439519512891410,-0.002297524129971862
1477439687086442959,-0.0037134247832000256
1477439649781209625,-0.0027306457050144672
1477439689936853063,-0.0034635767806321383
1477439637379460584,-0.003113936400040984
1477439490058651286,-0.00352877052500844
1477439732642720759,-0.004612401593476534
1477439714690308966,-0.0023124339058995247
1477439450453528069,-0.0019618202932178974
1477439727392056055,-0.0032909454312175512
1477439687236447284,-0.004115079529583454
1477439605775063659,-0.0025374218821525574
1477439722841384511,-0.003479843493551016
1477439713540087005,-0.0027837147936224937
1477439582521658937,-0.003505399916321039
1477439721991264414,-0.0031243572011590004
1477439425099725138,-0.002294653095304966
1477439542466089461,-0.0018257685005664825
1477439490558767809,-0.0025775060057640076
1477439403596614432,-0.0026841284707188606
1477439434201069847,-0.0024779727682471275
1477439474356503780,-0.004369244910776615
1477439424349503688,-0.0009603241924196482
1477439423399431247,-0.0015355423092842102
1477439480757419645,-0.001092154998332262
1477439479007122025,-0.0042578838765621185
1477439502160415903,-0.0030467042233794928
1477439523363412706,-0.00030986499041318893
1477439642930361664,-0.002617439953610301
1477439451903362543,-0.0011763800866901875
1477439670183995211,-0.0017301235347986221
1477439684586019415,-0.004872583318501711
1477439542366062034,-0.0024761944077908993
1477439545366586986,-0.0029697276186197996
1477439583572007974,-0.003582303412258625
1477439643880343789,-0.003601837670430541
1477439408547257699,-0.00356620317324996
1477439520162903849,-0.0031089659314602613
1477439590522799778,-0.0028974334709346294
1477439482057746857,-0.0033960691653192043
1477439595724760606,-0.0012109661474823952
1477439615776520491,-0.0020206118933856487
1477439598774073335,-0.0012649961281567812
1477439469555854575,-0.0028074709698557854
1477439409347383059,-0.002673996379598975
1477439576520821193,-0.004146873019635677
1477439664483251002,-0.0043684449046850204
1477439461504631012,-0.006012401077896357
1477439658932425705,-0.0031203944236040115
1477439531764591593,-0.0029821814969182014
